,idx,title,author,ban_info
120,121,"Sorted: Growing Up, Coming Out, and Finding My Place","Bird, Jackson","Banned in Libraries, Florida, Indian River County School District, November 2021, Administrator; "
121,122,Grandmama's Pride,"Birtha, Becky","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
122,123,My Invented Life,"Bjorkman, Lauren","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
123,124,The Baby Tree,"Blackall, Sophie","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; Banned in Libraries and Classrooms, Wisconsin, School District of Cadott Community, March 2022, Formal Challenge; "
124,125,Boy2Girl,"Blacker, Terence","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; "
125,126,Girl Made of Stars,"Blake, Ashley Herring","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
126,127,How to Make a Wish,"Blake, Ashley Herring","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
127,128,Ivy Aberdeen's Letter to the World,"Blake, Ashley Herring","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
128,129,La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,"Blake, Ashley Herring","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
129,130,The Mighty Heart of Sunny St. James,"Blake, Ashley Herring","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
130,131,Bowery Girl,"Blakemore, Kim Taylor","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; "
131,132,Someone I Used to Know,"Blount, Patty","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; "
132,133,Forever...,"Blume, Judy","Banned Pending Investigation, Florida, Brevard Public Schools, March 2022, Administrator; Banned in Libraries, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries and Classrooms, Florida, Jackson County School District, April 2022, Administrator; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator; "
133,134,"Then Again, Maybe I Won't","Blume, Judy","Banned Pending Investigation, Texas, Fredericksburg Independent School District, March 2022, Administrator; "
134,135,Jane Against the World: Roe v. Wade and the Fight for Reproductive Rights,"Blumenthal, Karen","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
135,136,A Bike Like Sergio's,"Boelts, Maribeth","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
136,137,Those Shoes,"Boelts, Maribeth","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
137,138,Changing the Equation: 50+ US Black Women in STEM,"Bolden, Tonya","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
138,139,A Quick & Easy Guide to They/Them Pronouns,"Bongiovanni, Archie","Banned in Libraries and Classrooms, Tennessee, Collierville Schools, February 2022, Administrator; "
139,140,Sasha Masha,"Borinsky, Agnes","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
140,141,Channel Kindness: Stories of Kindness and Community,Born This Way Foundation Reporters,"Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
141,142,"Be Gay, Do Comics: Queer History, Memoir, and Satire from The Nib","Bors, Matt","Banned in Libraries and Classrooms, Tennessee, Collierville Schools, February 2022, Administrator; "
142,143,Bruised,"Boteju, Tanya","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
